

	//Hero Names for Dota 2

		"npc_dota_hero_queenofpain"         	"Akasha |Queen of Pain"
    		"npc_dota_hero_antimage"            	"Andy |Antimage"
    		"npc_dota_hero_kunkka"              	"Kunkka |Admiral"
    		"npc_dota_hero_lina"                	"Lina |Slayer"
    		"npc_dota_hero_mirana"              	"Mirana |Princess of the Moon"
    		"npc_dota_hero_slardar"             	"Slardar |Slithereen Guard"
    		"npc_dota_hero_lion"                	"Lion |Demon Witch"
    		"npc_dota_hero_phantom_assassin"	"Mortred |Phantom Assassin"
    		"npc_dota_hero_tidehunter"          	"Leviathon |Tidehunter"
    		"npc_dota_hero_witch_doctor"	"Zharvakko |Witch Doctor"
    		"npc_dota_hero_vengefulspirit"      	"Shendelzare |Vengeful Spirit"
    		"npc_dota_hero_juggernaut"          	"Yurnero |Juggernaut"
    		"npc_dota_hero_earthshaker"         	"Raigor |Earthshaker"
    		"npc_dota_hero_pudge"               	"Pudge |Butcher"
    		"npc_dota_hero_bane"                	"Atropos |Bane"
    		"npc_dota_hero_crystal_maiden"          	"Rylai |Crystal Maiden"
    		"npc_dota_hero_sven"                	"Sven |Rogue Knight"
    		"npc_dota_hero_skeleton_king"           	"Ostarion |Wraith King"
    		"npc_dota_hero_storm_spirit"		"Raijin |Storm Spirit"
    		"npc_dota_hero_sand_king"           	"Crixalis |Sand King"
    		"npc_dota_hero_nevermore"           	"Nevermore |Shadow Fiend"
    		"npc_dota_hero_drow_ranger"         	"Traxex |Drow Ranger"
    		"npc_dota_hero_axe"             	"Mogul Khan |Axe"
    		"npc_dota_hero_bloodseeker"         	"Strygwyr |Bloodseeker"
    		"npc_dota_hero_phantom_lancer"          "Azwraith |Phantom Lancer"
    		"npc_dota_hero_razor"               	"Razor |Lightning Revenant"
    		"npc_dota_hero_morphling"           	"Morphling |Water Elemental"
    		"npc_dota_hero_zuus"                	"Zeus |Lord of Heaven"
    		"npc_dota_hero_tiny"                	"Tiny |Stone Giant"
    		"npc_dota_hero_puck"                	"Puck |Faerie Dragon"
    		"npc_dota_hero_windrunner"          	"Lyalei |Windranger"
    		"npc_dota_hero_lich"                	"Ethreain |Lich"
    		"npc_dota_hero_shadow_shaman"       	"Rhasta |Shadow Shaman"
    		"npc_dota_hero_riki"                	"Riki |Stealth Assassin"
